Market-Date,JBLU-Open-(USD),JBLU-Close-(USD),JBLU-Day-Price-Increase-(%),JBLU-Went-Up?,UAL-Open-(USD),UAL-Close-(USD),UAL-Day-Price-Increase-(%),UAL-Went-Up?,AAL-Open-(USD),AAL-Close-(USD),AAL-Day-Price-Increase-(%),AAL-Went-Up?,Average-Airline-Increase-(%),Average-Airline-Increase-Went-Up?,XOM-Open-(USD),XOM-Close-(USD),XOM-Day-Price-Increase-(%),XOM-Went-Up?,before-or-during-Covid,new-world-cases,new-world-cases-increase-(%),total-world-cases,total-world-cases-increase-(%),new-usa-cases,new-usa-cases-increase-(%),total-usa-cases,total-usa-cases-increase-(%),new-world-vaccinated,new-world-vaccinated-increase-(%),total-world-vaccinated,total-world-vaccinated-increase-(%),new-usa-vaccinated,new-usa-vaccinated-increase-(%),total-usa-vaccinated,total-usa-vaccinated-increase-(%)
9/4/2018,19.12,19.22,0.5230125523,TRUE,87.84,88.3,0.5236794171,TRUE,40.32,40.77,1.116071429,TRUE,0.7209211328,TRUE,80.41,80.29,-0.1492351698,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/5/2018,19.26,19.07,-0.9865005192,FALSE,88.64,88.19,-0.5076714801,FALSE,40.810001,39.669998,-2.793440265,FALSE,-1.429204088,FALSE,79.9,81.36,1.827284105,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/6/2018,19.12,18.96,-0.8368200837,FALSE,88.16,87.13,-1.168330309,FALSE,39.48,38.48,-2.532928065,FALSE,-1.512692819,FALSE,81.11,80.46,-0.8013808408,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/7/2018,18.94,18.8,-0.7391763464,FALSE,87.01,87.68,0.7700264337,TRUE,38.310001,38.43,0.3132315241,TRUE,0.1146938705,TRUE,80.15,81.83,2.096069869,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/10/2018,18.87,19.02,0.7949125596,TRUE,87.68,88.09,0.4676094891,TRUE,38.66,39.43,1.991722711,TRUE,1.084748253,TRUE,82.24,81.71,-0.6444552529,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/11/2018,18.96,19.04,0.4219409283,TRUE,87.96,89.12,1.318781264,TRUE,39.330002,40.18,2.161194907,TRUE,1.300639033,TRUE,81.96,82.86,1.098096633,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/2018,19.06,18.97,-0.4721930745,FALSE,88.9,87.8,-1.237345332,FALSE,40.259998,39.259998,-2.483855066,FALSE,-1.397797824,FALSE,83.25,83.13,-0.1441441441,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/2018,19.04,19.22,0.9453781513,TRUE,87.98,89.58,1.818595135,TRUE,39.490002,39.48,-0.02532792984,FALSE,0.9128817855,TRUE,83.15,82.32,-0.9981960313,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/2018,19.23,19.18,-0.2600104004,FALSE,89.74,90.33,0.6574548696,TRUE,39.540001,39.740002,0.5058194106,TRUE,0.3010879599,TRUE,82.42,82.92,0.6066488716,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2018,19.12,19.64,2.719665272,TRUE,90.5,90.16,-0.3756906077,FALSE,39.700001,40.32,1.561710288,TRUE,1.301894984,TRUE,83,83.41,0.4939759036,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
